  Open,  High,   Low, Close,Volume
47.54,48.832,47.54,48.554,284182
48.696,50.301,48.696,49.747,258238
50.329,51.422,49.641,50.916,556574
50.941,53.121,50.941,51.608,577917
51.547,52.5,51.333,51.492,518611
51.235,51.235,50.177,50.646,257562
50.434,50.522,49.65,49.811,353829
50.008,50.424,49.445,49.897,453009
49.508,51.111,49.224,50.719,346524
51.353,51.369,50.469,50.907,210160
50.87,51.484,50.301,51.102,163322
50.748,50.748,50.168,50.371,172645
50.415,50.907,49.82,50.577,102893
49.855,49.855,47.975,48.432,627118
48.554,48.805,48.077,48.484,224989
48.646,50.237,48.404,50.16,590384
50.065,50.748,49.471,49.97,150406
50.532,51.822,49.605,51.279,351019
50.832,52.117,50.408,51.672,270707
51.662,51.786,50.272,50.309,1351506
50.671,52.74,50.371,52.524,357421
53.168,53.168,52.483,52.696,281376
52.562,52.925,51.877,52.269,228582
52.783,52.899,51.839,51.991,308450
51.662,53.426,51.636,51.759,262619
51.235,53.729,50.887,53.46,325858
53.78,54.923,53.213,53.629,648572
52.97,55.848,52.092,54.335,649806
54.573,55.731,54.573,55.454,495918
55.11,57.822,54.751,57.504,360791
57.681,58.623,57.138,58.177,279804
57.734,58.464,57.734,58.446,331811
58.561,58.705,57.777,58.401,150290
58.981,58.981,57.973,58.668,413586
58.499,58.499,57.066,57.796,286095
57.84,58.383,57.049,57.412,321478
57.075,57.813,56.149,57.145,302829
57.172,57.867,56.507,57.058,389884
56.799,57.563,56.799,57.352,311706
57.066,57.245,55.641,56.507,455480
56.293,56.469,55.57,55.731,297662
56.524,56.799,55.57,56.248,284071
56.025,56.674,55.714,56.346,153324
56.202,56.346,54.448,54.716,558373
53.807,54.706,52.934,54.404,379774
54.617,54.966,53.195,54.2,222293
53.692,54.326,52.98,53.933,304738
54.245,54.706,52.865,53.977,233751
54.706,54.885,53.451,54.635,142657
54.814,54.981,53.068,53.594,191854
53.381,54.306,53.381,53.879,206119
54.306,54.306,52.882,54.031,227684
53.417,53.549,51.226,51.484,386175
52.009,52.082,49.99,50.664,389771
49.872,50.469,48.92,49.704,586177
49.773,49.99,49.091,49.839,382355
49.479,49.479,48.253,48.715,668922
48.787,48.956,46.642,47.228,772579
46.489,47.193,46.232,46.391,494907
46.26,46.658,46.134,46.223,402576
46.747,47.788,46.604,47.604,209267
48.002,48.34,45.512,46.036,378818
45.91,46.648,45.572,45.663,421222
45.76,45.76,45.136,45.581,594430
45.208,45.269,44.399,44.54,360342
44.636,44.823,42.983,43.498,516700
43.274,44.917,43.251,44.433,445487
44.406,45.438,44.345,45.171,131760
45.144,45.76,44.701,44.756,446832
44.975,46.213,44.798,45.875,312770
46.472,49.233,46.25,47.55,614982
47.531,49.454,47.389,48.964,663339
49.562,51.386,49.233,49.421,564007
49.242,49.277,47.774,48.077,350233
47.54,47.925,46.59,47.282,428523
47.984,48.279,46.981,47.502,335183
47.317,49.091,47.317,48.324,465957
48.536,48.679,47.433,47.487,404260
46.329,46.428,44.21,45.493,1039913
